N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
473,1.648,3.063,2.696,0.541,0.86,0.818,-0.008,11.928,11.766,0.174,14.361,14.149,2.943,3.109,3.353,0.978,0.973,5.207,8.031
474,1.648,3.063,2.695,0.541,0.86,0.818,0.0,11.933,11.77,0.182,14.372,14.158,2.943,3.109,3.353,0.978,0.973,5.196,8.035
475,1.648,3.064,2.696,0.541,0.86,0.818,0.005,11.934,11.772,0.187,14.377,14.163,2.943,3.109,3.353,0.978,0.973,5.186,8.018
476,1.648,3.063,2.695,0.541,0.86,0.818,0.0,11.93,11.768,0.182,14.374,14.161,2.944,3.109,3.354,0.978,0.973,5.175,8.001
477,1.647,3.063,2.696,0.541,0.86,0.818,-0.0,11.931,11.769,0.181,14.376,14.163,2.942,3.11,3.354,0.978,0.973,5.181,8.002
478,1.647,3.065,2.695,0.541,0.86,0.818,0.0,11.933,11.769,0.182,14.376,14.161,2.94,3.11,3.353,0.978,0.973,5.17,8.042
479,1.647,3.065,2.696,0.541,0.86,0.819,-0.0,11.934,11.77,0.181,14.38,14.165,2.94,3.11,3.353,0.978,0.973,5.16,8.025
480,1.646,3.065,2.696,0.541,0.86,0.819,0.0,11.94,11.775,0.181,14.382,14.167,2.94,3.108,3.352,0.978,0.973,5.149,8.009
481,1.647,3.065,2.696,0.541,0.86,0.819,0.0,11.936,11.772,0.181,14.377,14.161,2.941,3.108,3.353,0.978,0.973,5.177,8.031
482,1.646,3.065,2.696,0.541,0.86,0.819,0.0,11.942,11.778,0.181,14.383,14.168,2.942,3.109,3.354,0.978,0.973,5.166,8.032
483,1.646,3.065,2.697,0.541,0.86,0.819,0.012,11.944,11.78,0.193,14.384,14.169,2.943,3.109,3.354,0.978,0.973,5.156,8.028
484,1.646,3.064,2.697,0.541,0.86,0.819,0.0,11.94,11.776,0.181,14.378,14.163,2.943,3.109,3.354,0.977,0.973,5.145,8.027
485,1.645,3.064,2.698,0.541,0.86,0.819,0.013,11.943,11.779,0.193,14.386,14.172,2.943,3.109,3.354,0.977,0.973,5.134,8.011
486,1.645,3.065,2.698,0.541,0.86,0.819,-0.0,11.944,11.78,0.18,14.387,14.172,2.943,3.109,3.353,0.977,0.973,5.133,8.004
487,1.645,3.066,2.7,0.541,0.861,0.819,0.002,11.947,11.783,0.182,14.394,14.179,2.943,3.109,3.354,0.978,0.973,5.123,8.002
488,1.645,3.066,2.7,0.541,0.861,0.819,-0.0,11.933,11.769,0.18,14.384,14.169,2.944,3.109,3.354,0.978,0.973,5.112,7.985
489,1.644,3.065,2.7,0.541,0.861,0.819,-0.007,11.932,11.768,0.173,14.385,14.17,2.944,3.109,3.355,0.978,0.973,5.117,7.985
490,1.644,3.067,2.702,0.541,0.861,0.819,-0.0,11.937,11.773,0.179,14.387,14.172,2.945,3.109,3.355,0.978,0.973,5.107,7.968
491,1.645,3.066,2.702,0.541,0.861,0.82,0.006,11.938,11.774,0.185,14.388,14.173,2.945,3.109,3.353,0.978,0.973,5.103,7.958
492,1.644,3.066,2.701,0.541,0.861,0.82,-0.001,11.933,11.77,0.179,14.384,14.169,2.946,3.109,3.354,0.978,0.973,5.092,7.952
493,1.645,3.065,2.701,0.541,0.861,0.82,0.02,11.936,11.772,0.199,14.387,14.172,2.946,3.108,3.352,0.978,0.973,5.097,7.95
494,1.644,3.064,2.7,0.541,0.861,0.819,-0.001,11.936,11.771,0.18,14.384,14.168,2.946,3.108,3.352,0.978,0.973,5.105,7.953
