N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
226,1.659,3.038,2.706,0.546,0.852,0.813,0.0,11.742,11.566,0.191,14.233,14.001,2.985,3.119,3.365,0.977,0.972,5.892,8.307
227,1.659,3.04,2.709,0.546,0.852,0.813,-0.008,11.743,11.566,0.182,14.23,13.997,2.986,3.119,3.365,0.977,0.972,5.867,8.271
228,1.658,3.038,2.707,0.546,0.853,0.813,-0.002,11.753,11.577,0.189,14.241,14.009,2.987,3.12,3.365,0.977,0.972,5.841,8.235
229,1.657,3.037,2.705,0.546,0.853,0.814,-0.016,11.744,11.567,0.175,14.231,13.998,2.987,3.12,3.367,0.977,0.972,5.99,8.373
230,1.657,3.04,2.707,0.547,0.853,0.814,-0.002,11.772,11.592,0.188,14.251,14.014,2.988,3.12,3.366,0.977,0.972,5.964,8.366
231,1.657,3.038,2.706,0.547,0.853,0.814,-0.004,11.76,11.579,0.185,14.234,13.997,2.988,3.121,3.365,0.977,0.972,5.938,8.33
232,1.656,3.038,2.705,0.547,0.853,0.814,-0.002,11.768,11.585,0.187,14.236,13.998,2.988,3.121,3.366,0.977,0.972,5.974,8.355
233,1.657,3.039,2.707,0.547,0.854,0.814,0.008,11.765,11.583,0.197,14.232,13.994,2.984,3.119,3.363,0.977,0.972,6.02,8.32
234,1.656,3.039,2.706,0.547,0.854,0.814,-0.002,11.765,11.584,0.187,14.228,13.991,2.98,3.119,3.365,0.977,0.972,5.994,8.284
235,1.658,3.036,2.705,0.548,0.854,0.814,0.017,11.753,11.571,0.205,14.212,13.975,2.982,3.118,3.363,0.977,0.972,5.989,8.309
236,1.656,3.033,2.703,0.548,0.853,0.814,-0.002,11.743,11.562,0.187,14.198,13.962,2.983,3.118,3.364,0.977,0.972,6.026,8.321
237,1.656,3.032,2.702,0.548,0.854,0.814,-0.01,11.745,11.56,0.178,14.197,13.956,2.985,3.12,3.366,0.977,0.972,6.001,8.302
238,1.656,3.031,2.7,0.549,0.854,0.814,-0.002,11.727,11.542,0.186,14.2,13.958,2.987,3.121,3.368,0.977,0.972,5.992,8.284
239,1.654,3.032,2.702,0.549,0.854,0.815,-0.038,11.731,11.546,0.149,14.201,13.959,2.987,3.12,3.369,0.977,0.972,5.967,8.249
240,1.657,3.03,2.699,0.549,0.854,0.815,-0.002,11.713,11.529,0.185,14.194,13.954,2.987,3.117,3.367,0.977,0.972,5.942,8.256
241,1.655,3.029,2.699,0.549,0.854,0.815,-0.035,11.702,11.518,0.153,14.178,13.938,2.989,3.116,3.364,0.977,0.972,5.917,8.335
242,1.655,3.03,2.7,0.55,0.854,0.815,-0.002,11.697,11.514,0.185,14.178,13.939,2.991,3.116,3.364,0.977,0.972,5.893,8.301
243,1.655,3.028,2.696,0.55,0.854,0.815,-0.018,11.694,11.511,0.169,14.176,13.937,2.991,3.117,3.364,0.977,0.972,5.896,8.294
244,1.655,3.031,2.695,0.55,0.854,0.815,-0.002,11.705,11.521,0.185,14.182,13.942,2.991,3.116,3.364,0.977,0.972,5.906,8.26
245,1.654,3.029,2.692,0.549,0.854,0.815,-0.008,11.707,11.521,0.179,14.182,13.94,2.989,3.117,3.365,0.977,0.972,5.882,8.226
246,1.654,3.026,2.689,0.549,0.855,0.816,-0.003,11.702,11.517,0.184,14.17,13.929,2.987,3.118,3.366,0.977,0.972,5.883,8.218
247,1.654,3.029,2.69,0.549,0.855,0.815,-0.012,11.708,11.521,0.174,14.175,13.932,2.987,3.118,3.366,0.977,0.972,5.86,8.185
248,1.653,3.029,2.691,0.549,0.855,0.815,-0.003,11.714,11.527,0.183,14.188,13.945,2.987,3.118,3.365,0.977,0.972,5.836,8.152
249,1.654,3.031,2.691,0.549,0.855,0.816,0.011,11.723,11.536,0.196,14.199,13.954,2.987,3.118,3.365,0.977,0.972,5.813,8.119
250,1.653,3.03,2.691,0.549,0.855,0.816,-0.003,11.717,11.53,0.183,14.195,13.951,2.986,3.119,3.367,0.977,0.972,5.789,8.118
251,1.654,3.032,2.691,0.549,0.855,0.816,0.011,11.726,11.538,0.196,14.202,13.957,2.985,3.119,3.367,0.977,0.972,5.799,8.085
252,1.653,3.029,2.687,0.549,0.855,0.815,-0.003,11.698,11.51,0.182,14.165,13.921,2.985,3.119,3.367,0.977,0.972,5.803,8.08
253,1.653,3.03,2.688,0.549,0.855,0.815,-0.0,11.705,11.515,0.184,14.169,13.923,2.984,3.119,3.367,0.977,0.972,5.78,8.048
254,1.652,3.032,2.689,0.548,0.855,0.815,-0.003,11.714,11.524,0.181,14.175,13.929,2.984,3.12,3.368,0.977,0.972,5.779,8.038
255,1.651,3.033,2.688,0.548,0.855,0.815,-0.019,11.717,11.524,0.165,14.176,13.927,2.982,3.12,3.369,0.977,0.972,5.756,8.02
256,1.651,3.032,2.688,0.548,0.855,0.815,-0.003,11.73,11.538,0.18,14.188,13.939,2.979,3.12,3.368,0.977,0.972,5.759,8.064
257,1.656,3.036,2.689,0.548,0.855,0.815,0.014,11.746,11.551,0.196,14.21,13.958,2.98,3.12,3.368,0.977,0.972,5.737,8.188
258,1.656,3.035,2.69,0.549,0.855,0.815,-0.003,11.764,11.571,0.18,14.229,13.978,2.98,3.12,3.368,0.977,0.972,5.714,8.157
259,1.655,3.032,2.687,0.548,0.855,0.815,-0.018,11.746,11.552,0.165,14.207,13.956,2.979,3.12,3.37,0.977,0.972,5.725,8.19
260,1.656,3.033,2.689,0.548,0.855,0.815,-0.002,11.755,11.561,0.181,14.215,13.965,2.978,3.121,3.371,0.977,0.972,5.912,8.298
261,1.656,3.035,2.689,0.549,0.855,0.815,0.001,11.756,11.562,0.183,14.216,13.965,2.977,3.12,3.37,0.977,0.972,5.89,8.266
262,1.655,3.034,2.689,0.548,0.855,0.815,-0.002,11.752,11.558,0.18,14.209,13.958,2.975,3.119,3.368,0.977,0.972,5.867,8.269
263,1.655,3.036,2.689,0.548,0.855,0.815,0.013,11.765,11.57,0.196,14.222,13.971,2.976,3.119,3.368,0.977,0.972,5.845,8.238
264,1.654,3.034,2.688,0.547,0.855,0.815,-0.002,11.755,11.558,0.18,14.214,13.96,2.976,3.119,3.368,0.977,0.972,5.823,8.27
265,1.655,3.035,2.688,0.548,0.855,0.815,0.018,11.755,11.558,0.2,14.219,13.965,2.976,3.118,3.368,0.977,0.972,5.801,8.239
266,1.653,3.035,2.687,0.547,0.856,0.816,-0.004,11.753,11.556,0.179,14.219,13.964,2.976,3.119,3.368,0.977,0.972,5.779,8.208
267,1.653,3.036,2.687,0.547,0.856,0.816,-0.006,11.751,11.554,0.177,14.22,13.965,2.975,3.117,3.366,0.977,0.972,5.757,8.177
268,1.652,3.036,2.688,0.547,0.856,0.816,-0.004,11.755,11.558,0.179,14.228,13.974,2.974,3.117,3.365,0.977,0.972,5.736,8.146
